epochs,losses,rewards,epsilons
0,0.0,-339.3960014465272,0.049995000000000005
1,0.0,-326.90079452627816,0.049990000500000006
2,0.0,-366.0,0.049985001499950006
3,0.0,-383.829762726327,0.04998000299980001
4,0.0,-276.0,0.04997500499950003
5,0.0,-362.829762726327,0.04997000749900008
6,0.0,-295.7466897421524,0.04996501049825018
7,3.13,-431.55539191270304,0.049960013997200355
8,3.03,-95.08226722133664,0.049955017995800634
9,2.97,-213.34107143343545,0.04995002249400105
10,2.78,-407.90079452627816,0.04994502749175165
11,2.65,-262.06635333490306,0.04994003298900247
12,2.45,-292.83118635762673,0.049935038985703575
13,2.52,-340.32332358381694,0.049930045481805005
14,2.7,-285.62032000231596,0.04992505247725682
15,2.44,-195.21418099439384,0.049920059972009094
16,2.37,-351.0,0.049915067966011896
17,2.34,-280.3338300883989,0.049910076459215295
18,2.3,-303.0,0.049905085451569374
19,2.32,-252.0,0.04990009494302422
20,2.49,-266.7305572526052,0.049895104933529916
21,1.8,-309.1972809112783,0.04989011542303656
22,2.05,-242.48342490153306,0.04988512641149426
23,0.0,-101.91130103086007,0.04988013789885311
24,0.0,-165.0,0.049875149885063225
25,0.0,-159.5076639335542,0.049870162370074717
26,0.0,-282.0,0.04986517535383771
27,0.0,-153.5223411247755,0.049860188836302326
28,0.0,-139.1964931803739,0.049855202817418696
29,0.0,-198.13395101032495,0.049850217297136956
30,2.02,-170.55539191270307,0.04984523227540724
31,2.02,-151.43288413745955,0.049840247752179705
32,1.94,-128.31755534961778,0.04983526372740449
33,1.88,-21.692304558767113,0.04983028020103175
34,1.89,-76.09870779434404,0.04982529717301165
35,1.93,-181.97785320601878,0.04982031464329435
36,1.59,-115.88980694740398,0.04981533261183002
37,1.65,-196.4864523507918,0.04981035107856884
38,1.68,-193.09900663346622,0.049805370043460986
39,1.5,-153.32145777267544,0.04980038950645664
40,1.59,-96.46902626665872,0.049795409467506
41,1.52,-147.344985793693,0.04979042992655925
42,1.64,-300.9949681367641,0.0497854508835666
43,1.53,-333.0,0.04978047233847824
44,1.65,-110.2791640799991,0.04977549429124439
45,1.46,-227.71932618582935,0.04977051674181527
46,0.0,-154.1652054104371,0.04976553969014109
47,0.0,-107.71932618582933,0.049760563136172074
48,0.0,-160.71932618582935,0.04975558707985846
49,0.0,-252.0,0.04975061152115047
50,0.0,-195.63126487528942,0.049745636459998355
51,0.0,-140.72983269041126,0.04974066189635235
52,0.0,-96.0,0.04973568783016272
53,1.52,-151.2739805720839,0.0497307142613797
54,1.47,-189.7349499738037,0.049725741189953564
55,1.45,-173.49687168512273,0.04972076861583457
56,1.37,-39.0,0.049715796538972984
57,1.35,-62.0,0.04971082495931909
58,1.22,-73.09836704147604,0.04970585387682316
59,1.22,-169.30127001553328,0.049700883291435474
60,1.16,-37.099006633466225,0.04969591320310633
61,0.88,-73.32913968356337,0.04969094361178602
62,0.94,-54.56623872020014,0.04968597451742484
63,0.86,-120.68166486798586,0.0496810059199731
64,0.99,-135.0,0.049676037819381104
65,1.03,-280.0990066334662,0.04967107021559917
66,1.03,-80.829762726327,0.04966610310857761
67,1.02,-129.0,0.04966113649826675
68,0.73,-49.929246565248974,0.04965617038461692
69,0.0,-140.32332358381694,0.049651204767578457
70,0.0,-129.37074828617847,0.0496462396471017
71,0.0,-51.7654262679822,0.04964127502313699
72,0.0,-112.04610008215286,0.04963631089563468
73,0.0,-84.0,0.049631347264545114
74,0.0,-47.17605221793417,0.04962638412981866
75,0.0,-73.60981349773402,0.04962142149140568
76,0.0,-65.60594886465043,0.04961645934925654
77,0.9,-59.37141481689455,0.049611497703321614
78,0.82,-89.96734670143684,0.04960653655355128
79,0.81,-41.90079452627815,0.049601575899895924
80,1.01,-30.256830764040092,0.049596615742305936
81,0.83,2.433761279799859,0.049591656080731704
82,0.88,-27.0,0.04958669691512363
83,0.75,4.828636682556386,0.04958173824543212
84,0.77,0.020602439775100123,0.049576780071607575
85,0.63,4.7752577824952365,0.04957182239360042
86,0.66,-6.048091233077617,0.049566865211361055
87,0.71,-47.07363141364641,0.049561908524839916
88,0.51,-5.922655576409863,0.049556952333987436
89,0.66,-59.90079452627815,0.04955199663875404
90,0.67,-26.224118110095084,0.04954704143909016
91,0.61,-63.0,0.04954208673494625
92,0.52,-16.087158242394935,0.04953713252627275
93,0.0,-9.0,0.04953217881302013
94,0.0,-10.066353334903056,0.04952722559513883
95,0.0,-38.060971675964645,0.049522272872579313
96,0.0,-24.022873600617984,0.04951732064529206
97,0.0,14.612560581348829,0.04951236891322753
98,0.0,-6.601491994855934,0.04950741767633621
99,0.0,-79.71321124696071,0.04950246693456858
100,0.45,-7.099812067236697,0.04949751668787512
101,0.38,-7.62012071210748,0.049492566936206336
102,0.46,-36.0,0.049487617679512715
103,0.51,-7.141735928587131,0.04948266891774476
104,0.51,5.537506786101381,0.049477720650852985
105,0.45,9.06239107318084,0.0494727728787879
106,0.4,-7.943444295924416,0.04946782560150002
107,0.37,-15.0,0.049462878818939876
108,0.43,0.9631184645528825,0.049457932531057985
109,0.34,1.3074216015515177,0.04945298673780488
110,0.39,0.0,0.0494480414391311
111,0.35,19.243005884346132,0.04944309663498719
112,0.24,7.588883643512048,0.04943815232532369
113,0.34,19.742412135376227,0.049433208510091156
114,0.26,31.067091854614826,0.04942826518924015
115,0.23,14.310833382469946,0.04942332236272123
116,0.0,6.654009932280875,0.04941838003048495
117,0.0,0.6766764161830636,0.0494134381924819
118,0.0,3.9234078452060754,0.04940849684866266
119,0.0,-62.90079452627815,0.04940355599897779
120,0.0,-107.04264976964626,0.04939861564337789
121,0.0,0.9894934954180735,0.049393675781813556
122,0.0,2.1660683921708856,0.04938873641423538
123,0.25,10.470246383403556,0.04938379754059395
124,0.25,8.747089548018945,0.049378859160839894
125,0.13,-20.41734604770916,0.049373921274923814
126,0.2,0.4772613858600989,0.04936898388279632
127,0.2,8.71565018738882,0.04936404698440804
128,0.23,-1.84026923090893,0.049359110579709604
129,0.17,19.504035979167323,0.049354174668651635
130,0.17,38.58806839857516,0.04934923925118477
131,0.17,-1.8297627263270035,0.049344304327259655
132,0.13,44.27297572555519,0.04933936989682693
133,0.22,4.900993366533776,0.049334435959837254
134,0.15,4.529500991414786,0.04932950251624127
135,0.17,9.350948513538132,0.04932456956598964
136,0.2,2.7040543636086793,0.049319637109033046
137,0.17,-6.546977646161052,0.049314705145322144
138,0.17,9.848427329056348,0.049309773674807614
139,0.0,2.3475367326197025,0.049304842697440135
140,0.0,6.2911798687997464,0.04929991221317039
