epochs,losses,rewards,epsilons
0,0.0,-199.89537840376352,0.049995000000000005
1,0.0,-296.09857747154405,0.049990000500000006
2,0.0,-224.6873614285254,0.049985001499950006
3,0.0,-152.5184206200863,0.04998000299980001
4,0.0,-175.11622976123047,0.04997500499950003
5,0.0,-87.45609802992696,0.04997000749900008
6,0.0,-193.23482530170034,0.04996501049825018
7,1.86,-182.36925481463155,0.049960013997200355
8,1.66,-135.230867718666,0.049955017995800634
9,1.7,-128.83393160782913,0.04995002249400105
10,1.46,-103.85710072765984,0.04994502749175165
11,1.62,-148.84520066084144,0.04994003298900247
12,1.78,-98.66870650447702,0.049935038985703575
13,1.6,-48.797593989655475,0.049930045481805005
14,1.66,-57.17840888556448,0.04992505247725682
15,1.44,-137.07753419722295,0.049920059972009094
16,1.02,-69.18665678799246,0.049915067966011896
17,1.3,-84.7194691663576,0.049910076459215295
18,1.07,-73.05813790861667,0.049905085451569374
19,0.97,-62.26487920349143,0.04990009494302422
20,1.05,-103.7219250064367,0.049895104933529916
21,0.96,-161.88648506121976,0.04989011542303656
22,0.98,-83.70433007096533,0.04988512641149426
23,0.0,-92.62012071210748,0.04988013789885311
24,0.0,-45.98485933811493,0.049875149885063225
25,0.0,-74.60836626098062,0.049870162370074717
26,0.0,-89.247876067824,0.04986517535383771
27,0.0,-90.41877013946778,0.049860188836302326
28,0.0,-29.893023878383897,0.049855202817418696
29,0.0,-104.07684674421232,0.049850217297136956
30,0.98,-150.18758763392708,0.04984523227540724
31,1.06,-41.837292312922415,0.049840247752179705
32,0.88,-42.675813434449275,0.04983526372740449
33,0.86,-40.19290375757518,0.04983028020103175
34,0.74,-66.18702822039506,0.04982529717301165
35,0.82,-30.466894632968085,0.04982031464329435
36,0.76,-53.005275351137556,0.04981533261183002
37,0.79,-92.83393160782911,0.04981035107856884
38,0.74,-129.73032356944117,0.049805370043460986
39,0.69,-75.73937802029319,0.04980038950645664
40,0.63,-88.12670920620113,0.049795409467506
41,0.56,-103.71271453114697,0.04979042992655925
42,0.88,-87.57391539832153,0.0497854508835666
43,0.74,-118.30241689562332,0.04978047233847824
44,0.77,-147.97929647310974,0.04977549429124439
45,0.54,-100.61874404362165,0.04977051674181527
46,0.0,-69.1037432984109,0.04976553969014109
47,0.0,-33.81425574141372,0.049760563136172074
48,0.0,-101.71176808220936,0.04975558707985846
49,0.0,-84.60661345608142,0.04975061152115047
50,0.0,-163.92416214322944,0.049745636459998355
51,0.0,-11.922655576409863,0.04974066189635235
52,0.0,-120.7588782625345,0.04973568783016272
53,0.82,-119.38312859922105,0.0497307142613797
54,0.96,-42.92972530063254,0.049725741189953564
55,0.87,-102.0,0.04972076861583457
56,0.66,-43.63566720521001,0.049715796538972984
57,0.81,-59.67867927343336,0.04971082495931909
58,0.66,-77.96320370315311,0.04970585387682316
59,0.68,-166.40637068705445,0.049700883291435474
60,0.75,-108.76505742090306,0.04969591320310633
61,0.57,-104.01494025513662,0.04969094361178602
62,0.51,-94.02423903202114,0.04968597451742484
63,0.74,-52.82293469499584,0.0496810059199731
64,0.65,-58.588558602512755,0.049676037819381104
65,0.62,-45.81815907394461,0.04967107021559917
66,0.69,-2.8297627263270035,0.04966610310857761
67,0.6,-3.9326520474929643,0.04966113649826675
68,0.57,-29.09816820122041,0.04965617038461692
69,0.0,6.328353289185943,0.049651204767578457
70,0.0,0.468077569146899,0.0496462396471017
71,0.0,30.964652708615937,0.04964127502313699
72,0.0,-19.151863618619377,0.04963631089563468
73,0.0,-16.566039879944515,0.049631347264545114
74,0.0,1.8679539294125846,0.04962638412981866
75,0.0,8.422677974357995,0.04962142149140568
76,0.0,-37.36922482571417,0.04961645934925654
77,0.65,-43.55420619554879,0.049611497703321614
78,0.56,-10.002777254177584,0.04960653655355128
79,0.64,1.0,0.049601575899895924
80,0.64,6.361572986799107,0.049596615742305936
81,0.56,19.086363160690357,0.049591656080731704
82,0.45,-35.218573715592385,0.04958669691512363
83,0.41,14.38026707903584,0.04958173824543212
84,0.35,3.8002494986535513,0.049576780071607575
85,0.28,32.415899284963714,0.04957182239360042
86,0.36,6.158299332967366,0.049566865211361055
87,0.25,15.310137387051057,0.049561908524839916
88,0.3,-36.35464985289535,0.049556952333987436
89,0.25,-2.179650572840828,0.04955199663875404
90,0.25,14.718111090129767,0.04954704143909016
91,0.2,1.1131114081511677,0.04954208673494625
92,0.28,13.94369517404844,0.04953713252627275
93,0.0,45.03164865763969,0.04953217881302013
94,0.0,0.7127799509498867,0.04952722559513883
95,0.0,-10.375306231537456,0.049522272872579313
96,0.0,1.2022677865369513,0.04951732064529206
97,0.0,12.42325627757615,0.04951236891322753
98,0.0,22.826497140607135,0.04950741767633621
99,0.0,10.812412366072898,0.04950246693456858
100,0.21,-9.6803045490763,0.04949751668787512
