epochs,losses,rewards,epsilons
0,0.0,-408.3231247435613,0.049995000000000005
1,0.0,-349.1473180759448,0.049990000500000006
2,0.0,-384.93313708155097,0.049985001499950006
3,0.0,-414.0,0.04998000299980001
4,0.0,-457.32332358381694,0.04997500499950003
5,0.0,-408.0,0.04997000749900008
6,0.0,-345.0,0.04996501049825018
7,3.57,-441.0,0.049960013997200355
8,3.53,-372.0,0.049955017995800634
9,3.78,-281.2224511392092,0.04995002249400105
10,3.54,-470.54984601274003,0.04994502749175165
11,3.62,-338.0,0.04994003298900247
12,3.39,-360.0,0.049935038985703575
13,3.13,-351.0,0.049930045481805005
14,3.22,-268.6925783984485,0.04992505247725682
15,3.07,-195.52183154122952,0.049920059972009094
16,2.9,-210.0,0.049915067966011896
17,2.61,-375.9790683123656,0.049910076459215295
18,2.18,-216.0,0.049905085451569374
19,2.2,-186.0,0.04990009494302422
20,2.38,-268.54297397328776,0.049895104933529916
21,2.21,-237.60686940727604,0.04989011542303656
22,2.04,-450.0,0.04988512641149426
23,0.0,-366.4670332464783,0.04988013789885311
24,0.0,-282.0,0.049875149885063225
25,0.0,-366.0,0.049870162370074717
26,0.0,-408.9052466028586,0.04986517535383771
27,0.0,-266.6679514063507,0.049860188836302326
28,0.0,-333.3851546390301,0.049855202817418696
29,0.0,-437.32332358381694,0.049850217297136956
30,2.57,-348.0,0.04984523227540724
31,2.69,-317.55539191270304,0.049840247752179705
32,2.73,-339.9672964969809,0.04983526372740449
33,2.47,-286.2747185484852,0.04983028020103175
34,2.6,-248.13213713748516,0.04982529717301165
35,2.24,-326.31318762786003,0.04982031464329435
36,2.35,-128.653212829015,0.04981533261183002
37,1.91,-275.15216290769445,0.04981035107856884
38,1.97,-255.9949681367641,0.049805370043460986
39,1.99,-237.0,0.04980038950645664
40,2.03,-247.8285109476716,0.049795409467506
41,1.9,-171.0,0.04979042992655925
42,1.94,-217.2241181100951,0.0497854508835666
43,1.88,-204.0,0.04978047233847824
44,1.8,-195.56589841728498,0.04977549429124439
45,1.72,-191.00581494426118,0.04977051674181527
46,0.0,-217.38441826806684,0.04976553969014109
