epochs,losses,rewards,epsilons
0,0.0,-333.0,0.049995000000000005
1,0.0,-406.89301741283987,0.049990000500000006
2,0.0,-405.84277069157235,0.049985001499950006
3,0.0,-352.60925903847146,0.04998000299980001
4,0.0,-351.5992903178792,0.04997500499950003
5,0.0,-408.0,0.04997000749900008
6,0.0,-407.48342490153306,0.04996501049825018
7,4.08,-342.0,0.049960013997200355
8,3.65,-145.9667075593995,0.049955017995800634
9,3.1,-137.22411811009508,0.04995002249400105
10,2.97,-92.10129771176176,0.04994502749175165
11,2.94,-357.0,0.04994003298900247
12,2.91,-330.0,0.049935038985703575
13,2.3,-344.01050650458194,0.049930045481805005
14,2.65,-254.8619541350061,0.04992505247725682
15,2.45,-308.55539191270304,0.049920059972009094
16,2.35,-166.69267004692364,0.049915067966011896
17,2.59,-269.71932618582935,0.049910076459215295
18,2.18,-207.0,0.049905085451569374
19,2.29,-291.0,0.04990009494302422
20,1.93,-317.60888848984644,0.049895104933529916
21,2.08,-243.21292921573843,0.04989011542303656
22,1.92,-329.90079452627816,0.04988512641149426
23,0.0,-354.0,0.04988013789885311
24,0.0,-239.0856846724703,0.049875149885063225
25,0.0,-249.0,0.049870162370074717
26,0.0,-300.050359473468,0.04986517535383771
27,0.0,-238.68968322594316,0.049860188836302326
28,0.0,-281.94445501730877,0.049855202817418696
29,0.0,-381.0,0.049850217297136956
30,2.37,-344.71932618582935,0.04984523227540724
31,2.4,-138.6851537938199,0.049840247752179705
32,2.26,-194.85218788550836,0.04983526372740449
33,2.21,-196.82364894294363,0.04983028020103175
34,2.14,-225.0,0.04982529717301165
35,2.19,-119.25506503481506,0.04982031464329435
36,1.69,-162.0,0.04981533261183002
37,1.9,-160.47795472544902,0.04981035107856884
38,2.09,-158.0047382703828,0.049805370043460986
39,1.87,-191.78868985940937,0.04980038950645664
40,1.61,-153.6863314288658,0.049795409467506
41,1.53,-134.01050650458194,0.04979042992655925
42,1.72,-195.344985793693,0.0497854508835666
43,1.67,-183.0,0.04978047233847824
44,1.57,-183.0,0.04977549429124439
45,1.6,-122.42814631702959,0.04977051674181527
46,0.0,-342.0,0.04976553969014109
47,0.0,-178.37769283985492,0.049760563136172074
48,0.0,-147.44802557176044,0.04975558707985846
49,0.0,-268.160250459012,0.04975061152115047
50,0.0,-154.90117536302375,0.049745636459998355
51,0.0,-181.09079120717985,0.04974066189635235
52,0.0,-175.22411811009508,0.04973568783016272
53,1.59,-224.829762726327,0.0497307142613797
54,1.8,-194.829762726327,0.049725741189953564
55,1.86,-280.43957622406106,0.04972076861583457
56,1.8,-379.55539191270304,0.049715796538972984
57,1.77,-99.38969361920437,0.04971082495931909
58,1.53,-143.71932618582935,0.04970585387682316
59,1.47,-164.36925481463155,0.049700883291435474
60,1.6,-151.9679226657463,0.04969591320310633
61,1.22,-101.32332358381694,0.04969094361178602
62,1.28,-238.41658698252482,0.04968597451742484
63,1.3,-62.96734670143683,0.0496810059199731
64,1.33,-100.3790408556467,0.049676037819381104
65,1.11,-70.91733945276178,0.04967107021559917
66,1.17,-263.87858571907157,0.04966610310857761
67,1.44,-173.829762726327,0.04966113649826675
68,1.38,-208.63011718319063,0.04965617038461692
69,0.0,-215.23431387138666,0.049651204767578457
70,0.0,-269.01050650458194,0.0496462396471017
71,0.0,-177.48889429661,0.04964127502313699
72,0.0,-174.0,0.04963631089563468
73,0.0,-138.93350718022316,0.049631347264545114
74,0.0,-155.0426497696463,0.04962638412981866
75,0.0,-229.24361143807084,0.04962142149140568
76,0.0,-134.386937553597,0.04961645934925654
77,1.81,-211.1048215777274,0.049611497703321614
78,1.68,-119.36334814796399,0.04960653655355128
79,1.58,-172.62138115640667,0.049601575899895924
80,1.16,-72.0,0.049596615742305936
81,1.44,-88.565898417285,0.049591656080731704
82,1.34,-39.134513104509296,0.04958669691512363
83,1.29,-8.036881535447117,0.04958173824543212
84,1.16,-24.933137081550967,0.049576780071607575
85,1.01,-35.71932618582933,0.04957182239360042
86,0.94,-82.40039416772571,0.049566865211361055
87,1.02,-7.3844182680668204,0.049561908524839916
88,1.15,-16.626548535247974,0.049556952333987436
89,1.01,-80.1231456666208,0.04955199663875404
90,0.8,-51.95320723207001,0.04954704143909016
91,0.83,-68.55539191270307,0.04954208673494625
92,0.69,-10.323323583816936,0.04953713252627275
93,0.0,17.470735603137907,0.04953217881302013
94,0.0,1.3812001293551652,0.04952722559513883
95,0.0,5.027740887443658,0.049522272872579313
96,0.0,-72.28907154062468,0.04951732064529206
97,0.0,-89.56353450984457,0.04951236891322753
98,0.0,-21.592791984464387,0.04950741767633621
99,0.0,-10.823648942943638,0.04950246693456858
100,0.68,-4.226898842933279,0.04949751668787512
101,0.59,-2.650825442262464,0.049492566936206336
102,0.67,-21.553257793658446,0.049487617679512715
103,0.46,-5.555391912703069,0.04948266891774476
104,0.55,-19.823648942943638,0.049477720650852985
105,0.58,2.7753125010242496,0.0494727728787879
106,0.52,8.664924743666218,0.04946782560150002
107,0.51,2.527000731472303,0.049462878818939876
108,0.47,-6.8500549219489875,0.049457932531057985
109,0.66,7.090875973524611,0.04945298673780488
110,0.46,-1.5658984172849948,0.0494480414391311
111,0.46,-2.5553919127030684,0.04944309663498719
112,0.43,-5.719326185829331,0.04943815232532369
113,0.4,-3.0,0.049433208510091156
114,0.24,25.48795806505387,0.04942826518924015
115,0.48,38.85154445896097,0.04942332236272123
116,0.0,28.466633377364712,0.04941838003048495
117,0.0,26.782491726700403,0.0494134381924819
118,0.0,20.594062490176963,0.04940849684866266
119,0.0,16.295580418600565,0.04940355599897779
120,0.0,20.29789532265104,0.04939861564337789
121,0.0,19.02653107049532,0.049393675781813556
122,0.0,3.176549897311989,0.04938873641423538
123,0.23,-40.95479929142705,0.04938379754059395
124,0.34,30.07696794145423,0.049378859160839894
125,0.29,0.9894934954180735,0.049373921274923814
126,0.24,6.286442048369819,0.04936898388279632
127,0.26,21.48050431544027,0.04936404698440804
