epochs,losses,rewards,epsilons
0,0.0,-375.0,0.049995000000000005
1,0.0,-418.565898417285,0.049990000500000006
2,0.0,-120.0,0.049985001499950006
3,0.0,-334.609813497734,0.04998000299980001
4,0.0,-309.56623872020015,0.04997500499950003
5,0.0,-312.4670332464783,0.04997000749900008
6,0.0,-306.0,0.04996501049825018
7,2.97,-296.82364894294363,0.049960013997200355
8,2.86,-181.06635333490306,0.049955017995800634
9,2.83,-127.88993285264212,0.04995002249400105
10,2.68,-202.37007127059707,0.04994502749175165
11,2.45,-395.76164802922256,0.04994003298900247
12,2.16,-300.0,0.049935038985703575
13,2.45,-222.93981018076988,0.049930045481805005
14,2.52,-206.79035683029522,0.04992505247725682
15,2.2,-189.93313708155097,0.049920059972009094
16,2.35,-218.0,0.049915067966011896
17,2.1,-216.74790484849922,0.049910076459215295
18,1.85,-262.3198313037866,0.049905085451569374
19,1.94,-277.37904085564674,0.04990009494302422
20,1.82,-284.31414356869936,0.049895104933529916
21,1.86,-276.0,0.04989011542303656
22,1.99,-153.28556490602946,0.04988512641149426
23,0.0,-236.90079452627816,0.04988013789885311
24,0.0,-144.19497447942035,0.049875149885063225
25,0.0,-239.55539191270307,0.049870162370074717
26,0.0,-317.55539191270304,0.04986517535383771
27,0.0,-285.7077418518837,0.049860188836302326
28,0.0,-148.37014200499954,0.049855202817418696
29,0.0,-213.0,0.049850217297136956
30,2.34,-301.3463875570835,0.04984523227540724
31,2.2,-207.14697252676058,0.049840247752179705
32,1.9,-133.76361184823327,0.04983526372740449
33,1.75,-180.12163063290322,0.04983028020103175
34,1.76,-63.61352982131974,0.04982529717301165
35,1.94,-80.70882013120026,0.04982031464329435
36,1.61,-69.05635265112817,0.04981533261183002
37,1.56,-20.829762726327004,0.04981035107856884
38,1.32,-43.93461472704151,0.049805370043460986
39,1.6,-61.862798744096665,0.04980038950645664
40,1.4,-79.829762726327,0.049795409467506
41,1.37,-203.14510671561908,0.04979042992655925
42,1.47,-210.39600144652715,0.0497854508835666
43,1.42,-116.46356066666378,0.04978047233847824
44,1.51,-208.44610155884388,0.04977549429124439
45,1.16,-204.1090150087175,0.04977051674181527
46,0.0,-153.0,0.04976553969014109
47,0.0,-98.91444015012348,0.049760563136172074
48,0.0,-171.82364894294363,0.04975558707985846
49,0.0,-179.32332358381694,0.04975061152115047
50,0.0,-98.55539191270307,0.049745636459998355
51,0.0,-215.0,0.04974066189635235
52,0.0,-143.7547093810324,0.04973568783016272
53,1.35,-169.3807422719076,0.0497307142613797
54,1.3,-132.0881393520471,0.049725741189953564
55,1.33,-128.84792887395878,0.04972076861583457
56,1.2,-81.2377543443344,0.049715796538972984
